subclass,contents
운동,<br>하고싶지 않은 일<br>시도조차 하지 않는 일<br>내게 가장 힘들게 느껴지는 일<br>시작과 끝이 굉장히 멀게 느껴지는 일<br>짧은 시간이 굉장히 긴 시간으로 느껴지는 일<br>안 될 걸 알면서도 새해 소망에 꾸준히 적히는 일<br>눈으로만 보고 실천하지 않는 일<br>올해는 꼭 해야지 하면서 매번 실패하는 일<br>아 내일부터 진짜 운동해야지<br>오늘 떡볶이만 먹고 해야겠다
이별,"<br>""안녕?""이라며 나에게 처음 인사를 건넨 너<br>아직은 어색하기만한 너와 나<br>함께 시간을 보내며 전보다 가까워진 우리<br>오랜 시간이 지나 편해진 우리<br>서로 핑계를 대며 뜸해진 너와 나<br>""안녕.""이라고 이별 인사를 건넨 너<br>그렇게 너는 나에게 ""안녕""으로 시작과 끝을 마무리했다."
무기력,<br>흐르는 시간도<br>수많은 계획도<br>어쩌면 나 자신도<br>왜 자꾸<br>무기력해보이는 걸까.<br>이 문제의 답은 무엇인가.<br>나는 어떻게 해야 하는가.
시련,"<br>한 글자 한 글자 바르게 써 내려간 글자들에 마음이 시큰 아려왔다.<br>흘러도 자꾸만 두 눈 가득 차오르는 눈물 때문에 시야가 흐릿해졌겠지, 당장 펜을 놓고 목 놓아 엉엉 울고 싶었겠지. 답신을 보낼 수 없는 난 오늘도 고개를 치켜들고 밤하늘에 목놓아 운다.<br>너로 인해, 오로지 너 하나만을 위해 품은 염원을 담아 목놓아 운다."
쉽다,<br>세상에 쉬운 것이 무엇이 있으랴<br>모든 것은 고난과 역경을 딛고 익숙해진 것이리라.<br>노력<br>땀<br>열정<br>시간<br>돈<br>많은 것들이 그것을 쉽게 만드는 데에 소모되었을 것이다.<br>그러니 남을 부러워하지 말라<br>그대도 그리 빛나는 원석을 품고 있지 않은가.
말,<br>아주 작은 말이었다<br>입밖으로 새어나가기 전까지는<br>순간의 유혹을 참지 못해<br>말은 점점 크기를 키워나갔다<br>말이 지나간 주변에는<br>말을 들은 이들이<br>저들끼리 속닥속닥<br>말은 더 커져서<br>이젠 잡지도 못하게 되어버렸다
조개껍데기,<br>드넓은 모래사장에<br>수도 없이 돌아다니는<br>조개껍데기<br>조개알도 없이<br>혼자서만 돌아다니는<br>조개껍데기<br>두 손 꼬옥 붙잡고 온<br>친구들에게<br>다섯 손가락 꼬옥 깍지끼고 온<br>연인들에게<br>여러발 꼬옥 맞춰 온<br>가족들에게<br>그 모오든 발들에게<br>밟히는 조개 껍데기<br>모래 사장 속<br>수많은 조개껍데기들<br>숨도 안쉬고 잘도 가만히 있는다<br>저어기 예쁜 조개껍데기들 골라<br>자랑하러가는 아이<br>저어기 구멍뚫린 조개껍데기를<br>찾았다고 신나하는 아이<br>그 모오든 아이들을 기쁘게<br>하기 위해 오늘도<br>조개껍데기는 가만히 있는다<br>별볼일 없다고<br>보잘 것 없다고<br>그렇게 말해도<br>이미 흙투성이인<br>조개껍데기는<br>행복하다<br>이미 재가 되어버린 사회 속<br>아이들에게 희망이 되어주기 위해<br>이미 모래투성이가 된<br>조개껍데기들은 자리를 지킨다<br>동이 떠오른다<br>오늘도 조개껍데기의<br>하루는 시작된다
잠수함,"<br>나는 잠수함 입니다.<br>내게는 간직한 꿈이 있습니다.<br>빛나는 수면 너머로 올라가<br>밝게 내리쬐는 태양볕과 보드라운 바람결을 맘껏 즐기고 싶습니다.<br>나는 잠수함 입니다.<br>나는 작은 물결에도 무너질 듯 녹슬었지만, 아직 노랗게 페인트 칠한 문들이 내게 희망을 전달합니다.<br>나는  잠수함 입니다.<br>나는 버려졌지만 내 꿈은 버려지지 않았습니다.<br>이렇게 버려진 잠수함에게도 꿈이 있습니다."
텍스트 공간,"<br>무언가 채우려 한다.<br>작은 화살표는 곳<br>I 자가 된다.<br>(여기에 텍스트 입력)<br>무엇을 채울지 몰라 망설인다.<br>우선 희망과 열정을 채워본다.<br>(희망, 열정)<br>허나  별로 마음에 들지 않는다.<br>곧 지우고 다른 것을 채워본다.<br>(낙담, 자책)<br>하지만 이것도 마음에 들지 않는다.<br>마지막으로 몇 개 더 채워본다.<br>(성적, 진학, 취업)<br>허나 이것 또한<br>어딘가 이질감이 든다.<br>마치 무언가가<br>꽉-짓누르는 듯한<br>텍스트 공간<br>한정된 공간 속에서<br>무언가 더 채우기를 바라며<br>끝없이 깜빡이는 커서<br>문제는 본질에 있었다.<br>(여기에 텍스트 입력)의 공간에는<br>말 그대로 '텍스트'밖에 채울 수 없었던 것이다.<br>어쨰서 우리는<br>잘 다듬어지고 깔끔하게 정돈된<br>'텍스트'밖에 채울 수 없는걸까<br>우리 스스로 하여금<br>'텍스트'밖에 채워질 수 없도록<br>우리 자신을 한정한 것은 아닌가?<br>모두에게 묻는다<br>너는 텍스트인가?"
하나 둘 셋,"<br>하나, 너가 세면 둘, 내가 세고 셋, 우리가 세지 그래 그렇게 우리의 셋은 하나와 둘을 가지고 우리는 너와 나를 가져 이번에 외치는 하나는 나의 하나, 이번에 외치는 둘은 너의 둘, 하지만 셋은 언제나 외쳐도 우리의 셋 그래 그렇게 우리는 단 하나의 셋을 외쳤다 그래 그렇게 우리는 셋이자 하나였다"
위로,<br>울어도 괜찮다.<br>잠시 멈추어서도 괜찮다.<br>주위를 둘러볼 틈 없이 바빴던 일상을<br>지금은 내려놓아도 괜찮다.<br>순간마다 힘겨워 숨이 벅차는 감정을<br>조금은 덜어내어도 괜찮다.<br>울음이 샐까 숨죽이는 너를<br>무너질까 두려워 휘청이는 너를<br>이제 내가 껴안을테니 괜찮다.<br>괜찮아도 괜찮다.
꽃,"<br>다음날 꽃이 죽었다<br>'알아요, 저 들판 앞에는 아무것도 없죠.'<br>석양 너머를 바라보던 꽃이 말했다<br>'알면서 왜 자주 그곳으로 가려고 해 네 줄기가 끊어지려 하잖아'<br>네 얇은 줄기 옆으로 지지대를 동여매는 나는, 더 이상 해줄 말이없다.<br>지지대가 그 잎사귀들을 짓눌러도 꽃은 내색 하나 없다.<br>집어삼킬 듯이 불타오르는 태양만을 고즈넉이 바라보는 눈에는 무엇이 담겨있는지.<br>'그래도 나는 가야 해요...'<br>짧은 탄식<br>이내 꽃의 줄기를 놓았다.<br>'너 정말 왜그러니. 네가 생각하는 그거 낭만도 뭣도 아니야.<br>개죽음이라고, 개죽음.'<br>모질게 뱉어대는 단어들은 너를 상처입히지 못한 것인지, 아니면<br>또한 내색하지 않는것인지. 너는 또다시 말이없다.<br>'난 상관 없어요'<br>꽃이 천천히 고개를 수그린다<br>바람에 떨리는 꽃잎이 꼭 아가미같다<br>'난 그리로 향하도록 태어났는 걸요. 어떤 결과를 낳게 되어도 괜찮아요. 나는 갈 거예요.'<br>일렁이는 아지랑이가 네 곁을 맴돌았다.<br>그 속에서 꽃은 조용히 울고 있었다.<br>'날 사랑하고 아껴 주어서 고마워요. 당신과 함께여서 나는 행복했어요. 당신 분명 좋은 사람이에요.'<br>한 차례 깊고 어두운 바람이 불어닥친다<br>'그러나, 당신의 사랑과 헌신에겐<br>내 삶의 이유를 앗아갈 권리가 없어요.'<br>단념할 수 밖에 없는 꽃의 한 마디에 나는 자리에서 일어난다.<br>아마도 이꽃이 너와의 영원한 이별이 될 것만 같았다.<br>흐느끼는 꽃, 울고있는 바람<br>'그렇구나.'<br>떨어지지 않는 발걸음은 떨어뜨려야만 하는 순간이 있기 마련이었다.<br>어두워져가는 들판의 달빛에 나는 꽃을 뒤로 했다.<br>다음날 꽃이 죽었다.<br>부러져 있는 지지대와 끊겨있는 줄기.<br>그다지도 너답다 그다지 슬펐다.<br>혹시 내가 떠나지 않았다면 너는 살았을까,<br>날 위해서라도 그곳으론 가지 않았을까<br>조용히 너를 들판 바깥에 묻어주었다.<br>네가 가장 가고 싶어 했던 그곳에.<br>조용히 눈을 감고 바람의 감촉을 느낀다<br>네 얼굴이 떠오르고, 나는 그제야 깨달았다.<br>'그래, 처음부터 마지막까지, 전부 네가 옳았구나'<br>끝무렵의 후회는 처참했다."
나,<br>나는 그닥 착하지 못한 편에 속했고<br>그닥 나쁘지 않은 편에도 속했다<br>선과 악 그 사이 간극에서<br>어디로 떨어질지 모르는<br>가느다란 줄 위에서 버티며<br>나는 둘 중 어느 것도 놓지 못했다<br>모두에게 다정하고 싶었지만<br>모두와 멀어지고도 싶었고<br>관계의 미학은 커녕<br>관계의 정의조차 내리지 못한 채로<br>나는 또 둘 중 어느 것도 놓지 못했다<br>입구가 좁은 통에서<br>한 움큼의 사탕을 꺼내려는 게<br>어리석은 행동임을 알면서도<br>손에서 사탕을 놓지 못한 이유는<br>치기어린 욕망이었을까<br>이기적인 집착이었을까<br>애처로운 갈구였을까<br>아니면 그 무엇도 아니었을까<br>안 될 걸 알면서도<br>꾸역꾸역 사탕을 쥐고 나온 결과는<br>잔뜩 발갛게 부어오른 손과<br>반쯤 남은 부서진 사탕들이고<br>내게 온전히 남은 건 없지만<br>난 또 다시 둘 중 어느 것도 놓지를 못한다
통근 열차,<br>아침 일곱 시 사십분 평야를 가르는 통근열차는<br>두 점 사이를 잇는 선분처럼 일직선을 긋는다.<br>들판과 낮은 구릉은 맵쌀가루 같은 서리를 덮고<br>면사포처럼 엷은 안개를 껴안은 채 동면에서 깨어나지 않고 있다.<br>문득 창백한 형광 빛이 스러지면서<br>주활색 눈부신 빛줄기가 실내를 압도한다.<br>동면을 깨우는 듯 현란한 알람소리가 울리자마자<br>나도 모르게 두 눈이 찡그려 진다.<br>방금 떠오른 햇살이<br>왼쪽 창문 열시 방향에서 쏘아 오는 것으로 보아<br>열차의 진행 방향은 거의 정남향임에 틀림없다.<br>나는 눈을 감은 채 눕힌 의자에 비스듬히 누워있고<br>대지는 아직 누운 채 막 잠에서 깨어나고 있는지도 모른다.
2월과 3월,<br>2월은 불완전한 달이다<br>매년 며칠씩 있는지 확인하려<br>귀찮게도 달력을 몇 번 펴야 하고<br>매일 기온이 달라져서<br>귀찮게도 날씨 뉴스를 몇 번 봐야 한다<br>나는 이런 2월이 싫다<br>빨리 3월이 되었으면 좋겠다<br>3월은 이상한 계절이다<br>어쩌다 눈 오는 날도 있고<br>어쩌다 따듯한 날도 있고<br>어쩌다 꽃이 피어나는 날도 있다<br>나는 이런 3월이 좋다<br>빨리 3월이 되었으면 좋겠다
욕조,<br>맑게 빛나는<br>흰 욕조에<br>천천히<br>몸을 담그면<br>손이 녹아 열정이 되고<br>목이 녹아 표현이 되고<br>마음이 녹아 두려움이 되고<br>머리가 녹아 생각이 되고<br>발끝이 녹아 길이 되고<br>눈알이 녹아 빛이 되고<br>욕조는 까맣게 물든다<br>까맣게 물들어서<br>아무것도 볼 수 없도록<br>아무것도 할 수 없도록<br>결국
재회,"<br>""꿈에서만 볼 수 있던  얼굴이다.<br>손을 뻗어도 닿지 않던  당신이다.<br>나는 너를 품에 넣고 허겁지겁 숨을 들이마셨다.<br>낯선 내음 속에서 그리운 향취 찾았을 때<br>가슴 안쪽에 서서히 퍼지는 열기며<br>축축이 적셔오는 빛 따위가<br>몽애한 나에게 알려주더라.<br>당신이 내 영원한 사랑이라고.<br>이것은 필연이라고."""
너,"<br>1.<br>몰라요, 그런 거. 하루가  달뜨면 그제서야 봐 주시나요. 내가 구름을 걷고 빈 눈으로 허공을 응시하면 그제서야 다독여 주시나요. 나는 이제 모르겠어요. 사랑 받기엔 너무 지쳤거든요.<br>2.<br>그 애는 자기의 비참한 인생의 조각조각을 화려한 표지에 둘러 아무도 모를 추상적인 단어로 내보이곤 헀다. 그 애는 눈물에 잠겨 죽었다. 사람들은 그 애를 두고 소설가가 되었을 거라며, 감정적인 성격 탓에 죽어버린 거라며 불쌍해 했다. 그 애의 조각조각은 문장으로만 남은 탓에, 그 애는 빠르게 잊혀 갔다. 또각. 손에 힘이 들어가자 샤프심은 쉽게 부러졌다. 또각. 또각. 또각. 샤프심이 두 동강, 세 동강. 무언가를 쓰려던 걸 포기했다. 나는 책을 덮고 그 애의 마지막을 멋대로 상상했다.<br>3.<br>너는 비 내음을 잔뜩 묻히고 왔다. 어디서 시작된 비인지 알지만 나는 태연히 말을 걸었다.<br>어디서 그렇게 비를 맞고 왔어.<br>그러게. 눈을 뜨니까 흠뻑 젖어 있더라.<br>왜 흠뻑 젖을 때까지 맞고만 있었어. 라는 말은 입가에 머물렀을 뿐, 전해지지 못했다. 그새 울먹임이 입 안에 넘어져 있었다. 말을 건네면 울먹임도 함께 네 귓가를 두드릴까 나는 말을 삼켰다.<br>우리는 사랑을 했는데, 사랑을 하는데. 세상은 우리를 연인으로 부르지 않아.<br>네 입가는 온갖  어두운 색이 묻어 얼룩덜룩하다.<br>네 신실한 아비와 눈물 많은 어미가 네 입에 색을 칠했겠지. 너는 그 색 입힘에 그저 울다 도망칠 뿐, 나는 그런 널 안을 뿐. 아아, 지독하고 얄궂은 세상은 우리를 이렇게나 괴롭혀.<br>4.<br>내게 입 맞춰주고 나를 사랑해줘<br>나를 기꺼이 네 손으로 죽여줘<br>네 따뜻한 손으로 내 목을 졸라 이 지독한 숨을 멈춰줘<br>연약하고 보잘 것 없는 이 삶을 네가 아름답게 망쳐줘<br>5.<br>인간은 망각의 동물이래요<br>다행이지 않아요<br>당신 손으로 당신 목을 죄던 시침 분침초침까지도<br>초침 소리를 닮은 당신의 심장 박동도<br>다 아름답게 동화처럼 미화할 수 있잖아요<br>오래오래 행복하게 살았대요<br>그렇게 결말을 미리 써 내려버릴 수 있잖아요<br>6.<br>저 숲에는 괴물이 살아<br>네가 도망치는 사이에 너를 잘근잘근 씹어 내겠지, 네 조각들을 뱉어 내겠지<br>괴물이 두렵니. 슬퍼하지 말아. 괴물은 네 인사를 바라고 있단다.<br>네가 인사를 건네면 괴물은 손을 내밀고, 네가 그 손을 잡으면 괴물은 나비가 될 거야."
보석과 유리알,<br>모래밭에서 찾은 작은 보석<br>처음에는 그저 돌 조각 같아 보였지<br>바람에 흩날리는 모래알과<br>뒹구느라 아주 많이 깎였지만<br>깎인 틈으로 아름다운 색 빛이 나와<br>스포트라이트가 널 비출때의<br>그 반짝거림<br>바닷가의 작은 유리알<br>처음에는 날카로운 유리병 조각<br>넘실대는 하얀 파도를 타고<br>바다를 오가느라 많이 깎였지만<br>어느새 세월을 담은 멋 담아<br>손으로 집어 들면 비치는 바다의<br>그 푸른 빛
달,"<br>달아 달아<br>날 따라오지 마오<br>달아 달아<br>나만 따라오는 줄 알았는데<br>넌 모두를 따라가는구나<br>또 나만 기대했구나<br>달아 달아<br>나만 따라와주오<br>모두에게 빛을 내주지 마오<br>모두에게 웃어주지 마오<br>달아 달아<br>너의 빛을 나의 가방에<br>굽이굽이 넣어<br>너의 그 환한 웃음<br>너의 그 밝은 미소<br>나만 보고싶구나<br>달아 달아<br>나만 따라올 것이 아니라면<br>모두를 따라갈 것이라면<br>차라리 날 따라오지 마오<br>밝은 달아 밝은 달아<br>넌 누굴 위해 빛나는 것인가 ,"
얼굴,<br>얼굴이 있다는 건<br>참 좋을 것 같다.<br>누가 예쁜지 멋진지<br>구별할 수 있고<br>판단할 수 있으니까<br>남한테 아무렇지도 않게<br>상처줄 수 있고.<br>자신의 자존감을 높일 수 있으니까.
나,<br>나는 누구일까?<br>행복해 하는 저 사람이 나일까?<br>웃고 떠드는 저 사람이 나일까?<br>아무 걱정 없어보이는 사람이 나일까?<br>나는 누구일까?<br>괴로워 하는 저 사람이 나일까?<br>슬퍼하는 저 사람이 나일까?<br>걱정이 많아 한숨만 쉬는 사람이 나일까?<br>나는 누구인가?<br>나를 한 단어로 설명할 수 있는가?<br>두 단어로 설명할 수 있는가?<br>나는 몇 개의 단어로 설명할 수 있을까?
바다,<br>너는 어찌도 그렇게 푸르럴까<br>한번 무너짐도 없이<br>햇빛을 받으면 반짝이는 모습이<br>별빛을 뿌린듯 보인다.<br>너가 품고있는 생명들이<br>끝을 알 수 없는 지평선이<br>나를 더욱이 작게 만든다.<br>나는 왜이리도 작은 마음일까<br>너를 본받는다.
길,"<br>나는 내가 가야 할 길을 찾지 못하고, 가고 싶은 길 또한 모르고,  누군가가 일러준 그 길만을 힘겹게 따라가는 것이 전부입니다.<br>비참하게도.<br>나는 벗어날 수 없고.<br>그것이 나를 더 울게 만드는 나날."
이 나라,"<br>자, 모두들 이곳을 보시오. 이 곳은 1418년의 조선이오. 이 나라를 이끌어 갈 이는 세종, 이도이오다. 드리워지는 광경을 두눈에 담아 보시오. 무언가 특이한 것이 보이지 않소? 그것은 글을 읊는 선비들의 손 끝 찰랑이는 비단 옷이 아니어. 채 명줄이 끊기지 않은 짐승의 털가죽을 벗겨내고 벌건 핏물을 살갗에 튀겨가며 숭덩숭덩 고깃덩이를 자르는 백정의 낯짝이 아니오다. 소리에 집중하시오. 어디선가 곡소리가 들리지 않소? 보시오. 이는 글을 읽지 못하는 일개 백성의 울부짖음이오. 저들은 마치 세상과 단절된 듯이 소통 조차 어려움을 느끼고 있소. 자, 이제 하늘을 보시오. 한때 푸르던 저 곳의 하늘은 먹구름에 잡아먹힌 듯 어둑히 저물어 오고 있소. 무슨 생각이 드시오?<br>다시 이곳을 보시오. 무언가 달라졌지 않은가? 지금은 1446년의 조선이오. 변화를 찾아 보시오. 구석구석 잘 살펴 보시오. 푸른 지붕집 김 도령과 사랑의 도피를 떠난 이씨 양반네 아가씨를 찾는 저 문서를 보시오. 문자가 어떠한가? 1418년의 모습과는 확연히 다르지 않은가? 이는 '훈민정음' 이라는 우리 민족 고유의 문자이오다. 수많은 문맹을 퇴치하는 데에 톡톡히 효과를 보았다지. 저쪽으로 눈을 돌려 보시오. 글을 알지 못해 상실감에 살던 저들이 사무치는 기쁨을 주체하지 못하고 있소. 아마 글을 알게 되었을 것이오. 자, 이제 하늘을 보시오. 어둠을 살라먹고 다시 푸르른 하늘이오. 백성의 행복이 모여 하늘까지 닿은 것 같소. 무슨 생각이 드시오?<br>이제 이곳을 보시오. 2019년의 대한민국이오. 아니, 이게 무엇인가? 일개 국민들부터 높은 자리에 위치한 이들까지 입에 담지도 못할 말들을 내뱉고 있소. 우리의 문자가 언제부터 다른 이의 마음에 비수를 꽂기 위해 사용되었던가. 원래는 이렇지 않았소. 참으로 허무맹랑하오. 조상들의 한숨이 다 느껴지는구만. 자, 하늘을 보시오. 어둠에 완전히 잠식당한 이 나라의 하늘을 보시오. 온갖 욕설과 비속어가 가득찬 이 하늘 아래서 대체 무슨 꿈과 희망을 꾼단 말이오? 자, 이제 무슨 생각이 드시오?"
꿈,<br>누군가에게는<br>정말 간절하고<br>누군가에게는<br>이미 이뤄진 것이고<br>누군가에게는<br>하루 하루가 기대되는것<br>누군가에게는<br>어렵게만 느껴지는 것<br>그것이 꿈
비 오는 날,<br>비 오는 날은 하늘이랑 전쟁하는 날<br>빗물 화살 날아오면 내 우산 방패로 막아낸다<br>비 오는 날은 하늘과 노는 날<br>빗물 장난감 떨어뜨려서 아이들과 놀아준다<br>비 오는 날은 하늘이 어른들과 싸우는 날<br>싸우다 삐쳐서 홍수나게 한다<br>하늘은 이중인격<br>아이들이랑은 즐겁게 노는데<br>어른들이랑은 싸우다 삐친다
장애인,"<br><장애인><br>장애인은 부끄러운것이 절대 아니다.<br>장애인은 놀랄대상이 절대 아니다.<br>장애인은 신기한대상도 우리가 관광을 할<br>대상도 절대 아니다. 그저 장애인은 우리와 같은 사람이다. 장애인은 그냥 그저 장애가 있는 것 뿐이다. 절대 우리와 다른 사람이 아니다. 듣는 것이 감사한 사람, 보는 것이 감사한 사람, 느끼는 것이 감사한 사람이 우리보다 더 대단한 사람. 우리는 평범한 사람, 그렇지만 “장애인”은 이 삶이 얼마나 소중한지 아는사람. 우리보다 더 중요하고 즐거운 삶을 사는 사람. 존경해야할 사람.<br>“장애인”."
사랑,<br>스스로 빛을 내지 않아도 좋으니 너는 그저 가만히 네 모습만 비춰다오<br>너의 뒷면까지도 내가 사랑할테니
어느 장면,"<br>단지 내가 앓는 슬픔보다도<br>욱여넣은 종이가 구겨지지 않기를<br>되뇌어 본다, 잘 들어가라, 다 이루어져라<br>그래서 언젠가 하늘을 드높이리라<br>각본의 어느 장면 같은<br>어렴풋한 희망을 원하고 있었던 하루<br>닥쳐오는 폭우를 피하기에 아주 어렸던 나<br>비구름이 운다, 아주 서럽게 운다<br>번개가 소름 끼치게 차갑다<br>날린 깃발을 접어둘 수밖에 없었던 하루<br>이것 또한 누군가가 장난친 각본의 어느 장면인가<br>고운 별은 언젠가 내 곁으로 오는가<br>내 곁으로 오는가."
홍차,"<br>홍차가 식었어<br>들끓던 열<br>머금은 향<br>전부 어디로 갔는지<br>내 몸을 도는 붉은 액체가<br>흐르다가 곧 멈춘다면<br>그렇게 식어버린다면<br>내 영혼은 또 어디로 가나<br>봐, 우리는<br>썩 닮았으니<br>같이 춤이나 추지 않을래"
사랑,<br>그저 이렇게 끝날 마음이라<br>그래서 그런가 보다<br>당장 보고싶던 마음도<br>이제는 사그라 드는건가<br>그런 생각이 든다<br>내가 왜 이러고 있는걸까 싶으면서도<br>그 사람이 생각나서<br>무언가도 하지 못하는 나 자신이<br>너에게는 어떻게 보일까
윤회,"<br>이슬비 내리는 하늘<br>오늘은 어디로 갈까, 헤매는 새들을<br>아무것도 남지 않은 액자<br>잃었으니 이제 잊기로 해요, 말뿐인 사랑을<br>기억하기 쉬운 사랑을 이름을<br>전부 잊고 다시 시작하는 거예요<br>다시 시작하는 계절로, 그때의 마음으로<br>나는 다시 한번 당신의 곁으로 가요<br>엷은 구름에 다시 한번 못 본 척하는 달을 지나쳐<br>꽃이 말라비틀어져도 신경 쓰지 않는 해를 지나쳐<br>목숨뿐인 거죠, 우리들<br>다시 만난다면 그날의 위로로 사랑으로 애증으로<br>잃었으니 이제 잊어버렸죠, 당신의 말을"
입추,"<br>뜨거운 여름을 잔뜩 앓고 만난 뜨거운 사람들로 가득힌 계절, 미련이 또 그리움이 제 힘이라 여긴 시간들의 종점입니다.<br>벌레 소리가 들리고 황혼과 같은 것이 제 눈동자에 물들면 그것이 환상이니, 두려워 말라. 두 눈에 물기를 머금은 저보다 작은 제가 그렇게 말했습니다.<br>섧은 어둠에 가득 차버린 이 세계에서 나는 귀가 멀었습니다. 당신의 입모양을 보고 당신의 말을 알 수 있지만,  지금의 나는 그럴 수 없습니다. 아니, 보고 싶지 않습니다. 뒤돌아 버린 당신을 돌아 세웠다가는  더 이상 당신이 아무 말도 않을 것 같기 때문입니다.<br>저는 기꺼이 당신의 어깨죽지만 가만히 바라 볼 수 있습니다. 당신께  미련이 있어도, 그리움이 제 몸을 삼켜도  나는 미운 마음이 들지 않습니다.<br>새벽의 공기가 찹니다. 아, 아닙니다. 새벽녘의 영혼은 차갑지 않습니다.<br>따뜻한 차 한 잔으로 시작하는 아침보다, 조금은 식어버린 커피로 반기는 새벽녘이 더 아름다우니 말입니다.<br>짧은 순간이 가끔은 평생을 잡아먹습니다. 그러니 저는 그 찰나의 순간을 가진 과거에 평생을 살겠습니다. 내 영원 또 뜨거운 태양을 품은 작년의 가을, 그리고 순간의 가을을 품은 그 우주로 떠나는 기차에 오늘도 몸을 싣습니다.<br>뜨겁지도 차갑지도 않고 그저 시린 계절, 꼭 황혼에 잔뜩 취했던 저와 닮아 사랑하고 또 미워하는 그 계절 가을의 시작을 여는 '입추'에 애증의 편지를 부칩니다."
대화,<br>소곤소곤 웅성웅성<br>저마다 다른 사람들이<br>대화하는 소리들<br>집에서나 밖에서나<br>어딜가든 들려오는<br>사람들의 대화 소리<br>만약 우리가 살아가는데<br>소리가 안들리면 어떻게 될까<br>문득 이런 생각도 들게 된다
촛불집회,"<br>그날은 벌건 파도가 쳤다.<br>그 이후로 파도는 끝없이 이어졌다.<br>밤이면 밤마다,<br>온 거리에 작은 촛불들이 모여<br>큰 바다를 이루었다.<br>빛나는 바다는 일렁였다.<br>바람이 불어도<br>절대 흔들리지 않았다.<br>바닷물은 이곳저곳에 흘러들었다.<br>그리고 또 벌건 파도가 쳤다.<br>파도는 그들의 분노를 먹고 자랐다.<br>그들은 소리 지르지 않았다.<br>그들은 폭력을 사용하지 않았다.<br>그저 그들의 조그만 불꽃을<br>한데 모을 뿐이었다.<br>불꽃은 더 이상 조그맣지 않았다.<br>그것은 점점 커져,<br>파도가 되어 소리쳤다.<br>그들과 그들의 미래를 위해.<br>그리고 그 벌건 파도는<br>왕좌를 휩쓸었다.<br>-박근혜 전 대통령 퇴진운동(촛불집회) 그날을 기억하며.."
기억,"<br>따스했던 봄날, 당신을 만났던 기억을 지워야 한걸까요<br>수놓은 듯이 반짝였던 밤하늘, 당신과의 재회을 없애야 한걸까요<br>난 지금 아무것도 없는데<br>당신이 이렇게 내 앞에 있는데도, 난 아무것도 할 수가 없는데<br>나의 죄가 무엇인지, 그대의 죄는 또 무엇인지,<br>우리의 시간을 끝내지 못해 사랑해요<br>그대여 걱정을 덜어요<br>따스했던 봄날, 그대를 만났던 기억을 간직해요<br>수놓은 듯 반짝였던 밤하늘, 당신과의 재회를 새겨요<br>그대가 모든 아픔을 덜어가고 나면 난 모든것을 간직할게요<br>아파하지말아요 모든것을 내 가슴에 묻을게요.<br>이 끝없는 시간도 언젠가 끝날거에요<br>우리의 만남은 운명이며 우리는 지금 상을 받는 중이에요.<br>내가 끝까지 그댈 찾으러 갈게요. 내가 모든걸 간직한채 그댈 지키러 갈게요.<br>그때까지만 기다려줘요.<br>당신을 사랑해요."
동생,"<br>< 귀여운 내동생 ><br>귀여운 내동생 너무귀여워<br>통통한 볼, 반짝거리는 눈, 작고 귀여운 손,발 예쁘지 않은 곳이 하나도 없어.<br>때로는 화내고 울때도 있지만 아마 내 동생 처럼 귀여운 동생은 없을꺼야"
당신,<br>내가 이 글을 당신에게 보내면<br>소리가 되어 전해질까요<br>기계의 울림에<br>당신도 나처럼 설레일까요<br>보지 않는 척<br>내 글이 오기를<br>나처럼 하염없이 기다릴까요?<br>오늘도 그대는 조용합니다
고등학생,"<br>나는 고등학생이 되었다<br>엊그제만 해도 어린이 같던 내가 고등학생이다<br>영원히 어린아이로 남길 바랐는데<br>영원히 나이를 먹지 않길 바랐는데<br>영원히 천진난만 하길 바랐는데<br>그랬던 내가 고등학생이 되었다<br>몇 년 후면 성인이라니<br>어린애 마냥 투정만 부리던 내가<br>마음 한 켠에 성인이 된다는 것에 두려움을 품은 내가<br>그런 내가 성인이 된다니 믿어지질 않는다<br>어릴 적 기억 속 모습과 많이 달라진 나의 부모님<br>그리고 나<br>멈춘 건 나의 여린 생각뿐이었으니<br>나만 멈추고 세월을 멈추지 아니하였으니<br>나이를 먹고, 먹으며<br>나는 어느새 고등학생이 되었다"
지하철역,<br>지하철역을 나올 땐<br>마음이 상쾌해져<br>올라가면서 보이는 출구가<br>마치 빠르게 달리는 지하철 같이<br>시원해보여서<br>나에게도 출구가 생길 것 만 같아서<br>계단 따라 내 마음도 한 칸 한 칸 올라가<br>하지만 출구로 나오면 금세 가라앉아<br>나에게도 나만의<br>출구가 생기면 좋겠어
심해,<br>목을 움켜쥐는 물<br>숨쉬기가 버거워<br>.<br>.<br>.<br>잠시만요<br>물에게는 손이 없잖아요<br>글쎄<br>다시 잘 생각해봐<br>처음부터 존재하지도 않았던 것처럼<br>물속에서 녹아내린<br>가벼운 시체처럼<br>실은 이미 죽은 것 아닐까<br>이 삭막한 아틀란티스<br>지상을 벗어나고서야<br>죽음을 향한 갈망을 씻어낸<br>낙원이 심해<br>녹아내렸구나
엄마,<br>엄마는좋겠다.<br>긴 팔이 있어서<br>엄마는좋겠다.<br>긴 다리가있어서<br>엄마는 좋겠다.<br>긴 머리카락이있어서
